run_id,step,coherence,fit,pressure,tension,rho,delta_r,tau_c,lambda,plateau
pi_leaky_P1b_20250828_121350,271,0.6537048257382893,0.6915874359551794,0.4627091897558838,0.5631930621662583,0.81,0.35947125410160685,0.27,0,0
pi_leaky_P1b_20250828_121350,272,0.6500398642090759,0.6899483837157256,0.45151069619439854,0.5582568171065991,0.81,0.33911035671708817,0.27,0,0
pi_leaky_P1b_20250828_121350,273,0.6440208294370264,0.6861851243817616,0.44545253439091415,0.5564505229681086,0.81,0.33900460798348026,0.25,0,0
pi_leaky_P1b_20250828_121350,274,0.6608772980666745,0.6957201249687072,0.46612507742594983,0.5634878608335522,0.81,0.349318322592636,0.3,0,0
pi_leaky_P1b_20250828_121350,275,0.6546741220911075,0.692329260157412,0.4595042619450508,0.5613767081914605,0.81,0.3481895671728195,0.28,0,0
pi_leaky_P1b_20250828_121350,276,0.6518802462994924,0.6907714434839396,0.45713408591511556,0.5607355817346288,0.81,0.34933470166384645,0.27,0,0
pi_leaky_P1b_20250828_121350,277,0.6423101105174696,0.6848973331950952,0.4402253376922681,0.5542117383820635,0.81,0.32950061398594194,0.25,0,0
pi_leaky_P1b_20250828_121350,278,0.6490331607450774,0.689189830222104,0.4546013244988477,0.5600227883785261,0.81,0.35018422636154123,0.26,0,0
pi_leaky_P1b_20250828_121350,279,0.6561420233113145,0.6936263564371284,0.44882284900679437,0.5556903770348418,0.8,0.3396779072850807,0.26,0,0
pi_leaky_P1b_20250828_121350,280,0.6580148321025144,0.6945816332458468,0.45454532031323847,0.5581981019880741,0.8,0.3500824005695244,0.26,0,0
pi_leaky_P1b_20250828_121350,281,0.6591427289640532,0.6953943871200349,0.4518250051679404,0.5565953630734592,0.8,0.33968182757807336,0.27,0,0
pi_leaky_P1b_20250828_121350,282,0.653123004934884,0.6916620398259821,0.44576473730103433,0.5547842380554089,0.8,0.3395722496382442,0.25,0,0
pi_leaky_P1b_20250828_121350,283,0.6718533643100071,0.7020038657053087,0.4721630576139102,0.5643493750550406,0.8,0.3602964683889276,0.3,0,0
pi_leaky_P1b_20250828_121350,284,0.6556207454740648,0.6932026111703457,0.45339672228186445,0.5580954415603809,0.8,0.3534485859670263,0.25,0,0
pi_leaky_P1b_20250828_121350,285,0.6615692012992486,0.6964795594699417,0.45923922619214824,0.5598635179999254,0.8,0.3531622294402695,0.27,0,0
pi_leaky_P1b_20250828_121350,286,0.669883585749979,0.7001979369604072,0.48464428979160235,0.5710619545570029,0.8,0.39935325416654965,0.27,0,0
pi_leaky_P1b_20250828_121350,287,0.6589470676986048,0.6946902163874316,0.4635604846346256,0.5625755818065583,0.8,0.3719281538811375,0.25,0,0
pi_leaky_P1b_20250828_121350,288,0.6566291378936038,0.6936535866690838,0.45647792134156695,0.5594536201004475,0.8,0.3590507660755762,0.25,0,0
pi_leaky_P1b_20250828_121350,289,0.6573183781910963,0.6936534969132403,0.46475060002834967,0.5635038156261327,0.8,0.3795465455060903,0.24,0,0
pi_leaky_P1b_20250828_121350,290,0.6536141424396429,0.6919968803688403,0.45343210189890854,0.5585146730983939,0.8,0.3589674579980155,0.24,0,0
pi_leaky_P1b_20250828_121350,291,0.6459567555160738,0.6871924465134889,0.442367864076892,0.5545402817847507,0.8,0.3497597528670764,0.22,0,0
pi_leaky_P1b_20250828_121350,292,0.6538961649126313,0.6921230070859267,0.4542938372330397,0.5588945221167001,0.8,0.36053424951461754,0.24,0,0
pi_leaky_P1b_20250828_121350,293,0.6543458976508637,0.6920158042271918,0.461834687266528,0.5626221308985071,0.8,0.3796994313936872,0.23,0,0
pi_leaky_P1b_20250828_121350,294,0.6476508829404418,0.688467747991277,0.4475443645402387,0.5567573534036545,0.8,0.359171571891343,0.22,0,0
pi_leaky_P1b_20250828_121350,295,0.640450941006793,0.6841183375058157,0.45304454196520083,0.5609511111685244,0.81,0.3691718944821833,0.22,0,0
pi_leaky_P1b_20250828_121350,296,0.6387616387712385,0.6831511225194601,0.44788278513433977,0.5587022974058325,0.81,0.3597868820624359,0.22,0,0
pi_leaky_P1b_20250828_121350,297,0.6454266769073074,0.686651930505768,0.4620815127723279,0.5645309304595295,0.81,0.3801482050405962,0.23,0,0
pi_leaky_P1b_20250828_121350,298,0.6368477729390687,0.6817104068513545,0.44203486175826534,0.5561976584053298,0.81,0.349154294105937,0.22,0,0
pi_leaky_P1b_20250828_121350,299,0.6419003607418459,0.6850748835539922,0.45130665782230683,0.5597814233741737,0.81,0.36055755967692144,0.23,0,0
pi_leaky_P1b_20250828_121350,300,0.642383536111439,0.6849826369831713,0.4589496936738412,0.5635540752000943,0.81,0.3799085339524385,0.22,0,0
