step,x,y
271,-0.9607862160240633,-0.6973194578911828
272,0.6551479041970227,0.2292024478619137
273,1.9587194538227326,0.0760876557288233
274,-2.0387721257944293,-0.08180841579420077
275,-0.6933428697457766,-0.13277927930960237
276,-0.15630296382507303,-0.2360560025023801
277,2.758212019207064,0.4446649111480995
278,0.40419788992594924,-0.32588101264415176
279,0.37850171540108685,1.4728747144003491
280,-0.45742818529621987,1.0138091046293232
281,-0.25991407878840145,1.538254225071292
282,1.0412610102472235,1.3891303119034784
283,-3.7797555202200934,0.753687991456691
284,-0.09666105727626141,0.8094635395393136
285,-1.3297805444962283,0.9248290214662603
286,-4.995711937084356,-1.1770919032284628
287,-1.56328424953598,-0.0314485360892859
288,-0.5412757426738165,0.5545365344804554
289,-1.539991693456012,-0.4292905931614351
290,0.09325899482644467,0.5071600463442156
291,2.145884022652818,0.7305198483754763
292,-0.031088759751164975,0.43586325453463376
293,-0.9242023913891914,-0.4874150792170898
294,1.354145376922074,0.3655172583732335
295,1.4089416437309843,-1.3945838468404312
296,2.1720918479284506,-0.9934018090639269
297,-0.09011168781936547,-1.8428930461928728
298,3.066523707230732,-0.5810562111999513
299,1.4646917023486736,-0.9514214310426542
300,0.5568327347351785,-1.8831542411359306
